date,close,signal,short_ma,long_ma,positions,cash,stock,holding,total,roi_gross,roi_daily,roi_buy&hold,roi_daily_buy&hold,sharpe,sharpe_buy&hold
2021-07-01,4.6553187,0.0,0.0,0.0,0.0,10000,0,0,10000,0.0,0.0,0.0,0.0,0.0,0.0
2021-07-02,4.7079477,0.0,0.0,0.0,0.0,10000,0,0,10000,0.0,0.0,0.011305132,0.011305094,0.0,0.0
2021-07-06,4.7327995,0.0,0.0,0.0,0.0,10000,0,0,10000,0.0,0.0,0.0166435,0.0052787066,0.0,0.9999999830302286
2021-07-07,4.7155304,0.0,0.0,0.0,0.0,10000,0,0,10000,0.0,0.0,0.01293395,-0.0036488175,0.0,1.6926333706563927
2021-07-08,4.653841,0.0,0.0,0.0,0.0,10000,0,0,10000,0.0,0.0,-0.00031742582,-0.013082147,0.0,0.9934116747346727
2021-07-09,4.557592,0.0,0.0,0.0,0.0,10000,0,0,10000,0.0,0.0,-0.02099251,-0.02068162,0.0,-0.0071372158607658975
2021-07-12,4.4355545,0.0,0.0,0.0,0.0,10000,0,0,10000,0.0,0.0,-0.04720713,-0.026776731,0.0,-0.7209568838185855
2021-07-13,4.298481,0.0,0.0,0.0,0.0,10000,0,0,10000,0.0,0.0,-0.076651625,-0.03090334,0.0,-1.2934515993572058
2021-07-14,4.15816,0.0,0.0,0.0,0.0,10000,0,0,10000,0.0,0.0,-0.10679366,-0.03264427,0.0,-1.7973849790894911
2021-07-15,4.027778,0.0,0.0,0.0,0.0,10000,0,0,10000,0.0,0.0,-0.13480078,-0.03135574,0.0,-2.269222301038327
2021-07-16,3.9216628,0.0,0.0,0.0,0.0,10000,0,0,10000,0.0,0.0,-0.1575952,-0.026345849,0.0,-2.7270196549422505
2021-07-19,3.8478415,0.0,0.0,0.0,0.0,10000,0,0,10000,0.0,0.0,-0.17345262,-0.018823981,0.0,-3.1630003617834492
2021-07-20,3.8066788,0.0,0.0,0.0,0.0,10000,0,0,10000,0.0,0.0,-0.18229471,-0.010697603,0.0,-3.522719681580891
2021-07-21,3.798073,0.0,0.0,0.0,0.0,10000,0,0,10000,0.0,0.0,-0.18414329,-0.002260685,0.0,-3.7204239774723704
2021-07-22,3.8232896,0.0,0.0,0.0,0.0,10000,0,0,10000,0.0,0.0,-0.17872655,0.0066393614,0.0,-3.6660057499216716
2021-07-23,3.8804224,0.0,0.0,0.0,0.0,10000,0,0,10000,0.0,0.0,-0.16645399,0.014943361,0.0,-3.3174103386910736
2021-07-26,3.9626079,0.0,0.0,0.0,0.0,10000,0,0,10000,0.0,0.0,-0.14879988,0.021179557,0.0,-2.76892149168065
2021-07-27,4.0632586,0.0,0.0,0.0,0.0,10000,0,0,10000,0.0,0.0,-0.12717928,0.025400162,0.0,-2.1865621682109277
2021-07-28,4.1829863,0.0,0.0,0.0,0.0,10000,0,0,10000,0.0,0.0,-0.10146082,0.029465914,0.0,-1.6561506174552836
2021-07-29,4.3193574,0.0,0.0,0.0,0.0,10000,0,0,10000,0.0,0.0,-0.0721672,0.032601357,0.0,-1.171257242527398
2021-07-30,4.4614487,0.0,0.0,0.0,0.0,10000,0,0,10000,0.0,0.0,-0.041644853,0.0328964,0.0,-0.735687731094102
2021-08-02,4.6002297,0.0,0.0,0.0,0.0,10000,0,0,10000,0.0,0.0,-0.011833561,0.03110671,0.0,-0.36672790867810967
2021-08-03,4.7267785,0.0,0.0,0.0,0.0,10000,0,0,10000,0.0,0.0,0.015350135,0.027509212,0.0,-0.059665951617078314
2021-08-04,4.8362937,0.0,0.0,0.0,0.0,10000,0,0,10000,0.0,0.0,0.03887488,0.02316904,0.0,0.190533769940015
2021-08-05,4.926731,0.0,0.0,0.0,0.0,10000,0,0,10000,0.0,0.0,0.058301564,0.018699765,0.0,0.3922288991480772
2021-08-06,4.9978304,0.0,0.0,0.0,0.0,10000,0,0,10000,0.0,0.0,0.07357427,0.014431357,0.0,0.5522437413070874
2021-08-09,5.0499744,0.0,0.0,0.0,0.0,10000,0,0,10000,0.0,0.0,0.084775224,0.010433316,0.0,0.6756594288523535
2021-08-10,5.0836782,0.0,0.0,0.0,0.0,10000,0,0,10000,0.0,0.0,0.09201507,0.0066740513,0.0,0.7656758178783276
2021-08-11,5.1015973,0.0,0.0,0.0,0.0,10000,0,0,10000,0.0,0.0,0.09586424,0.0035247803,0.0,0.8240514309039011
2021-08-12,5.1058984,0.0,0.0,0.0,0.0,10000,0,0,10000,0.0,0.0,0.09678814,0.0008430481,0.0,0.8553287746879898
2021-08-13,5.1007037,0.0,0.0,0.0,0.0,10000,0,0,10000,0.0,0.0,0.09567229,-0.0010173917,0.0,0.8629855368319018
2021-08-16,5.0906653,0.0,0.0,0.0,0.0,10000,0,0,10000,0.0,0.0,0.09351596,-0.0019680262,0.0,0.8539755386802887
2021-08-17,5.082576,0.0,0.0,0.0,0.0,10000,0,0,10000,0.0,0.0,0.09177826,-0.0015891194,0.0,0.8364010702647732
2021-08-18,5.082814,0.0,0.0,0.0,0.0,10000,0,0,10000,0.0,0.0,0.09182948,4.696846e-05,0.0,0.8222844081324713
2021-08-19,5.093429,0.0,0.0,0.0,0.0,10000,0,0,10000,0.0,0.0,0.09410964,0.0020884275,0.0,0.8228245316760979
2021-08-20,5.1122603,0.0,0.0,0.0,0.0,10000,0,0,10000,0.0,0.0,0.09815474,0.003697157,0.0,0.8413861350008143
2021-08-23,5.134426,0.0,0.0,0.0,0.0,10000,0,0,10000,0.0,0.0,0.10291613,0.004335761,0.0,0.8739687244448884
2021-08-24,5.1559377,0.0,0.0,0.0,0.0,10000,0,0,10000,0.0,0.0,0.10753699,0.0041897297,0.0,0.9120775074236512
2021-08-25,5.1745343,0.0,0.0,0.0,0.0,10000,0,0,10000,0.0,0.0,0.1115317,0.0036067963,0.0,0.9489337264904976
2021-08-26,5.188667,0.0,0.0,0.0,0.0,10000,0,0,10000,0.0,0.0,0.114567466,0.002731204,0.0,0.980749639473595
2021-08-27,5.1959147,0.0,0.0,0.0,0.0,10000,0,0,10000,0.0,0.0,0.116124384,0.0013968945,0.0,1.0049377859369952
2021-08-30,5.1943083,0.0,0.0,0.0,0.0,10000,0,0,10000,0.0,0.0,0.1157793,-0.0003091693,0.0,1.0173776059677588
2021-08-31,5.1871805,0.0,0.0,0.0,0.0,10000,0,0,10000,0.0,0.0,0.1142482,-0.0013722181,0.0,1.0145931144311844
2021-09-01,5.179746,0.0,0.0,0.0,0.0,10000,0,0,10000,0.0,0.0,0.11265124,-0.0014331937,0.0,1.0022295136344301
2021-09-02,5.176891,0.0,0.0,0.0,0.0,10000,0,0,10000,0.0,0.0,0.1120379,-0.00055122375,0.0,0.9893409294897577
2021-09-03,5.181173,0.0,0.0,0.0,0.0,10000,0,0,10000,0.0,0.0,0.1129577,0.00082719326,0.0,0.9844144110934039
2021-09-07,5.192117,0.0,0.0,0.0,0.0,10000,0,0,10000,0.0,0.0,0.11530864,0.0021123886,0.0,0.9917761376348623
2021-09-08,5.2098703,0.0,0.0,0.0,0.0,10000,0,0,10000,0.0,0.0,0.119122155,0.00341928,0.0,1.0104586293962194
2021-09-09,5.2336273,0.0,0.0,0.0,0.0,10000,0,0,10000,0.0,0.0,0.12422535,0.0045599937,0.0,1.0405267098201811
2021-09-10,5.259732,0.0,4.733324308395385,0.0,0.0,10000,0,0,10000,0.0,0.0,0.12983279,0.004987836,0.0,1.080424552323026
2021-09-13,5.2864504,0.0,4.745946941375732,0.0,0.0,10000,0,0,10000,0.0,0.0,0.13557217,0.0050798655,0.0,1.1239797901048785
2021-09-14,5.310306,0.0,4.757994108200073,0.0,0.0,10000,0,0,10000,0.0,0.0,0.14069656,0.0045126677,0.0,1.1683182519978
2021-09-15,5.329296,0.0,4.769924039840698,0.0,0.0,10000,0,0,10000,0.0,0.0,0.14477578,0.0035760403,0.0,1.2078131667954493
2021-09-16,5.3401685,0.0,4.782416801452637,0.0,0.0,10000,0,0,10000,0.0,0.0,0.14711125,0.0020401478,0.0,1.239248280782065
2021-09-17,5.3391266,0.0,4.796122512817383,0.0,0.0,10000,0,0,10000,0.0,0.0,0.14688744,-0.000195086,0.0,1.2572812593979985
