date,close,signal,short_ma,long_ma,positions,cash,stock,holding,total,roi_gross,roi_daily,roi_buy&hold,roi_daily_buy&hold,sharpe,sharpe_buy&hold
2022-02-04,30.072718,0.0,0.0,0.0,0.0,10000.0,0.0,0.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-03,29.938662,0.0,0.0,0.0,0.0,10000.0,0.0,0.0,10000.0,0.0,0.0,-0.0044577313,-0.004457712,0.0,0.0
2022-02-02,30.052317,0.0,0.0,0.0,0.0,10000.0,0.0,0.0,10000.0,0.0,0.0,-0.000678389,0.0037962198,0.0,-1.0000000073535686
2022-02-01,30.514332,0.0,0.0,0.0,0.0,10000.0,0.0,0.0,10000.0,0.0,0.0,0.014684876,0.015373707,0.0,-0.0924419073548656
2022-01-31,31.380825,0.0,0.0,0.0,0.0,10000.0,0.0,0.0,10000.0,0.0,0.0,0.043498144,0.028396249,0.0,0.8658818081680476
2022-01-30,32.64639,0.0,0.0,0.0,0.0,10000.0,0.0,0.0,10000.0,0.0,0.0,0.0855816,0.040329218,0.0,1.4518334177861802
2022-01-29,34.26778,0.0,0.0,0.0,0.0,10000.0,0.0,0.0,10000.0,0.0,0.0,0.1394973,0.049665213,0.0,1.9389740020390764
2022-01-28,36.16766,0.0,0.0,0.0,0.0,10000.0,0.0,0.0,10000.0,0.0,0.0,0.20267347,0.055442095,0.0,2.398734783821861
2022-01-27,38.231236,0.0,0.0,0.0,0.0,10000.0,0.0,0.0,10000.0,0.0,0.0,0.271293,0.05705583,0.0,2.86097379255471
2022-01-26,40.324146,0.0,0.0,0.0,0.0,10000.0,0.0,0.0,10000.0,0.0,0.0,0.340888,0.05474353,0.0,3.3432289466313865
2022-01-25,42.31321,0.0,0.0,0.0,0.0,10000.0,0.0,0.0,10000.0,0.0,0.0,0.40702978,0.049326897,0.0,3.850626668805166
2022-01-24,44.107468,0.0,0.0,0.0,0.0,10000.0,0.0,0.0,10000.0,0.0,0.0,0.46669376,0.042404175,0.0,4.372538286865697
2022-01-23,45.60199,0.0,0.0,0.0,0.0,10000.0,0.0,0.0,10000.0,0.0,0.0,0.51639074,0.03388369,0.0,4.880010909302432
2022-01-22,46.766693,0.0,0.0,0.0,0.0,10000.0,0.0,0.0,10000.0,0.0,0.0,0.5551203,0.02554059,0.0,5.3196452824972695
2022-01-21,47.560932,0.0,0.0,0.0,0.0,10000.0,0.0,0.0,10000.0,0.0,0.0,0.58153087,0.016983032,0.0,5.63234803860554
2022-01-20,47.9939,0.0,0.0,0.0,0.0,10000.0,0.0,0.0,10000.0,0.0,0.0,0.59592825,0.009103417,0.0,5.7552013900428305
2022-01-19,48.166256,0.0,0.0,0.0,0.0,10000.0,0.0,0.0,10000.0,0.0,0.0,0.6016596,0.0035911798,0.0,5.67331849668034
2022-01-18,48.203987,0.0,0.0,0.0,0.0,10000.0,0.0,0.0,10000.0,0.0,0.0,0.6029142,0.00078332424,0.0,5.466422602646731
2022-01-17,48.219315,0.0,0.0,0.0,0.0,10000.0,0.0,0.0,10000.0,0.0,0.0,0.6034239,0.00031793118,0.0,5.2341092034608545
2022-01-16,48.303154,0.0,0.0,0.0,0.0,10000.0,0.0,0.0,10000.0,0.0,0.0,0.6062118,0.0017386675,0.0,5.041077083469506
2022-01-15,48.51978,0.0,0.0,0.0,0.0,10000.0,0.0,0.0,10000.0,0.0,0.0,0.6134152,0.0044846535,0.0,4.917898073352042
2022-01-14,48.899586,0.0,0.0,0.0,0.0,10000.0,0.0,0.0,10000.0,0.0,0.0,0.6260448,0.007827878,0.0,4.872629826985901
2022-01-13,49.434544,0.0,0.0,0.0,0.0,10000.0,0.0,0.0,10000.0,0.0,0.0,0.6438336,0.010939956,0.0,4.898494184894905
2022-01-12,50.100292,0.0,0.0,0.0,0.0,10000.0,0.0,0.0,10000.0,0.0,0.0,0.6659716,0.013467312,0.0,4.978939865020161
2022-01-11,50.85711,0.0,0.0,0.0,0.0,10000.0,0.0,0.0,10000.0,0.0,0.0,0.6911378,0.015106082,0.0,5.09784901049389
2022-01-10,51.652653,0.0,0.0,0.0,0.0,10000.0,0.0,0.0,10000.0,0.0,0.0,0.71759176,0.015642762,0.0,5.239377405657783
2022-01-09,52.416008,0.0,0.0,0.0,0.0,10000.0,0.0,0.0,10000.0,0.0,0.0,0.7429754,0.014778614,0.0,5.388003593028769
2022-01-08,53.125355,0.0,0.0,0.0,0.0,10000.0,0.0,0.0,10000.0,0.0,0.0,0.7665631,0.013532996,0.0,5.525570116330636
2022-01-07,53.763313,0.0,0.0,0.0,0.0,10000.0,0.0,0.0,10000.0,0.0,0.0,0.787777,0.012008548,0.0,5.64662925740594
2022-01-06,54.29979,0.0,0.0,0.0,0.0,10000.0,0.0,0.0,10000.0,0.0,0.0,0.8056163,0.009978533,0.0,5.746648284022927
