date,close,signal,short_ma,long_ma,positions,cash,stock,holding,total,roi_gross,roi_daily,roi_buy&hold,roi_daily_buy&hold,sharpe,sharpe_buy&hold
2021-07-01,34.699833,0.0,0.0,0.0,0.0,10000,0,0,10000,0.0,0.0,0.0,0.0,0.0,0.0
2021-07-02,33.15207,0.0,0.0,0.0,0.0,10000,0,0,10000,0.0,0.0,-0.04460436,-0.04460436,0.0,0.0
2021-07-06,31.597233,0.0,0.0,0.0,0.0,10000,0,0,10000,0.0,0.0,-0.08941254,-0.046900153,0.0,-0.9999999618500562
2021-07-07,29.96067,0.0,0.0,0.0,0.0,10000,0,0,10000,0.0,0.0,-0.13657594,-0.05179447,0.0,-1.99811428823763
2021-07-08,28.209953,0.0,0.0,0.0,0.0,10000,0,0,10000,0.0,0.0,-0.18702914,-0.05843383,0.0,-2.9766311429995262
2021-07-09,26.344866,0.0,0.0,0.0,0.0,10000,0,0,10000,0.0,0.0,-0.24077831,-0.066114545,0.0,-3.8939703535157384
2021-07-12,24.393654,0.0,0.0,0.0,0.0,10000,0,0,10000,0.0,0.0,-0.29700947,-0.074064195,0.0,-4.705204932551072
2021-07-13,22.40626,0.0,0.0,0.0,0.0,10000,0,0,10000,0.0,0.0,-0.35428336,-0.0814718,0.0,-5.395156835583911
2021-07-14,20.445986,0.0,0.0,0.0,0.0,10000,0,0,10000,0.0,0.0,-0.41077566,-0.08748776,0.0,-5.988255026347078
2021-07-15,18.565737,0.0,0.0,0.0,0.0,10000,0,0,10000,0.0,0.0,-0.46496177,-0.09196174,0.0,-6.532773967554336
2021-07-16,16.804976,0.0,0.0,0.0,0.0,10000,0,0,10000,0.0,0.0,-0.51570445,-0.094839275,0.0,-7.065865113558774
2021-07-19,15.189716,0.0,0.0,0.0,0.0,10000,0,0,10000,0.0,0.0,-0.5622539,-0.09611791,0.0,-7.6121437151588065
2021-07-20,13.734595,0.0,0.0,0.0,0.0,10000,0,0,10000,0.0,0.0,-0.6041884,-0.095796466,0.0,-8.187490947109938
2021-07-21,12.447513,0.0,0.0,0.0,0.0,10000,0,0,10000,0.0,0.0,-0.6412803,-0.09371102,0.0,-8.80248552526268
2021-07-22,11.328642,0.0,0.0,0.0,0.0,10000,0,0,10000,0.0,0.0,-0.6735246,-0.08988708,0.0,-9.465290689003703
2021-07-23,10.370151,0.0,0.0,0.0,0.0,10000,0,0,10000,0.0,0.0,-0.70114696,-0.08460778,0.0,-10.175624353719735
2021-07-26,9.5588,0.0,0.0,0.0,0.0,10000,0,0,10000,0.0,0.0,-0.72452897,-0.07823908,0.0,-10.918534039771544
2021-07-27,8.880134,0.0,0.0,0.0,0.0,10000,0,0,10000,0.0,0.0,-0.7440871,-0.070999086,0.0,-11.66123272468757
2021-07-28,8.31825,0.0,0.0,0.0,0.0,10000,0,0,10000,0.0,0.0,-0.76027983,-0.063274264,0.0,-12.350845784788271
2021-07-29,7.858354,0.0,0.0,0.0,0.0,10000,0,0,10000,0.0,0.0,-0.77353334,-0.05528754,0.0,-12.918431331016913
2021-07-30,7.4881682,0.0,0.0,0.0,0.0,10000,0,0,10000,0.0,0.0,-0.78420156,-0.04710728,0.0,-13.291509256970492
2021-08-02,7.2013865,0.0,0.0,0.0,0.0,10000,0,0,10000,0.0,0.0,-0.7924663,-0.03829801,0.0,-13.410716108524074
2021-08-03,7.0100493,0.0,0.0,0.0,0.0,10000,0,0,10000,0.0,0.0,-0.7979803,-0.026569486,0.0,-13.22934569636398
2021-08-04,6.9350634,0.0,0.0,0.0,0.0,10000,0,0,10000,0.0,0.0,-0.80014133,-0.010696948,0.0,-12.642273553701711
2021-08-05,6.991751,0.0,0.0,0.0,0.0,10000,0,0,10000,0.0,0.0,-0.79850763,0.008174062,0.0,-11.566784009887202
2021-08-06,7.18238,0.0,0.0,0.0,0.0,10000,0,0,10000,0.0,0.0,-0.793014,0.027264833,0.0,-10.117950451216643
2021-08-09,7.4977984,0.0,0.0,0.0,0.0,10000,0,0,10000,0.0,0.0,-0.78392404,0.04391551,0.0,-8.588180176690818
2021-08-10,7.9217978,0.0,0.0,0.0,0.0,10000,0,0,10000,0.0,0.0,-0.771705,0.056549788,0.0,-7.218576602668481
2021-08-11,8.4298935,0.0,0.0,0.0,0.0,10000,0,0,10000,0.0,0.0,-0.75706244,0.06413889,0.0,-6.096928035380645
2021-08-12,8.994119,0.0,0.0,0.0,0.0,10000,0,0,10000,0.0,0.0,-0.7408023,0.066931486,0.0,-5.219454771963333
2021-08-13,9.591516,0.0,0.0,0.0,0.0,10000,0,0,10000,0.0,0.0,-0.72358614,0.06642079,0.0,-4.5440475394953115
2021-08-16,10.205521,0.0,0.0,0.0,0.0,10000,0,0,10000,0.0,0.0,-0.7058914,0.06401539,0.0,-4.019995873491296
2021-08-17,10.81323,0.0,0.0,0.0,0.0,10000,0,0,10000,0.0,0.0,-0.6883781,0.059547067,0.0,-3.6054959642579116
2021-08-18,11.379529,0.0,0.0,0.0,0.0,10000,0,0,10000,0.0,0.0,-0.6720581,0.052371025,0.0,-3.2769178043245257
2021-08-19,11.880333,0.0,0.0,0.0,0.0,10000,0,0,10000,0.0,0.0,-0.6576256,0.04400921,0.0,-3.023097838018206
2021-08-20,12.295396,0.0,0.0,0.0,0.0,10000,0,0,10000,0.0,0.0,-0.64566416,0.034937024,0.0,-2.830379424025002
2021-08-23,12.617146,0.0,0.0,0.0,0.0,10000,0,0,10000,0.0,0.0,-0.63639176,0.026168346,0.0,-2.6887370034293174
2021-08-24,12.858359,0.0,0.0,0.0,0.0,10000,0,0,10000,0.0,0.0,-0.6294403,0.019117951,0.0,-2.588247746327902
2021-08-25,13.033429,0.0,0.0,0.0,0.0,10000,0,0,10000,0.0,0.0,-0.6243951,0.013615251,0.0,-2.5172195564904674
2021-08-26,13.1637535,0.0,0.0,0.0,0.0,10000,0,0,10000,0.0,0.0,-0.62063926,0.009999275,0.0,-2.467367139155834
2021-08-27,13.263869,0.0,0.0,0.0,0.0,10000,0,0,10000,0.0,0.0,-0.61775404,0.0076054335,0.0,-2.4308166224721477
2021-08-30,13.347399,0.0,0.0,0.0,0.0,10000,0,0,10000,0.0,0.0,-0.6153469,0.006297469,0.0,-2.4028477504179793
2021-08-31,13.43133,0.0,0.0,0.0,0.0,10000,0,0,10000,0.0,0.0,-0.6129281,0.006288171,0.0,-2.379611951616328
2021-09-01,13.53789,0.0,0.0,0.0,0.0,10000,0,0,10000,0.0,0.0,-0.60985714,0.007933736,0.0,-2.3568246342651147
2021-09-02,13.679885,0.0,0.0,0.0,0.0,10000,0,0,10000,0.0,0.0,-0.6057651,0.010488629,0.0,-2.329216108564997
2021-09-03,13.859674,0.0,0.0,0.0,0.0,10000,0,0,10000,0.0,0.0,-0.60058385,0.013142586,0.0,-2.293937649831865
2021-09-07,14.074594,0.0,0.0,0.0,0.0,10000,0,0,10000,0.0,0.0,-0.5943902,0.015506744,0.0,-2.250752059771776
2021-09-08,14.328247,0.0,0.0,0.0,0.0,10000,0,0,10000,0.0,0.0,-0.58708024,0.01802206,0.0,-2.2006910489392997
2021-09-09,14.623736,0.0,0.0,0.0,0.0,10000,0,0,10000,0.0,0.0,-0.57856464,0.02062285,0.0,-2.1433884014874724
2021-09-10,14.960859,0.0,14.337309837341309,0.0,0.0,10000,0,0,10000,0.0,0.0,-0.56884927,0.02305317,0.0,-2.0787152958976725
2021-09-13,15.32809,0.0,13.949874973297119,0.0,0.0,10000,0,0,10000,0.0,0.0,-0.55826616,0.024546027,0.0,-2.0073852769541976
2021-09-14,15.705969,0.0,13.600952968597412,0.0,0.0,10000,0,0,10000,0.0,0.0,-0.5473762,0.02465272,0.0,-1.932533831559645
2021-09-15,16.081799,0.0,13.290644283294677,0.0,0.0,10000,0,0,10000,0.0,0.0,-0.53654534,0.02392912,0.0,-1.8585618907239723
