,PricesA,PricesB,Spread,Buy signal,Short signal,Exit signal,stateA,stateB,cash,assets,holding,debt,total,roi_gross,roi_buy&hold,roi_daily,roi_daily_buy&hold,sharpe,sharpe_buy&hold,Asset A,Asset B,Pair Number
2020-04-22,5.384679163811574,299.61,-294.2253208361884,-325.0409795770147,-221.93494309945103,-273.4879613382329,0,0,5000.0,0.0,0.0,0.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,ETC,NOW,1
2020-04-23,5.601233663841146,297.31,-291.7087663361589,-325.0409795770147,-221.93494309945103,-273.4879613382329,0,0,5000.0,0.0,0.0,0.0,5000.0,0.0,0.040216787935101896,0.0,0.016270070814118354,0.0,0.0,ETC,NOW,1
2020-04-24,5.596290470196734,302.94,-297.3437095298033,-325.0409795770147,-221.93494309945103,-273.4879613382329,0,0,5000.0,0.0,0.0,0.0,5000.0,0.0,0.03929877713185222,0.0,0.008793471735675684,0.0,1.0000000000000002,ETC,NOW,1
2020-04-27,6.109990755460254,308.6,-302.49000924453975,-325.0409795770147,-221.93494309945103,-273.4879613382329,0,0,5000.0,0.0,0.0,0.0,5000.0,0.0,0.1346991286914974,0.0,0.05574075282709501,0.0,1.7768416229289987,ETC,NOW,1
2020-04-28,6.172288293870088,296.0,-289.8277117061299,-325.0409795770147,-221.93494309945103,-273.4879613382329,0,0,5000.0,0.0,0.0,0.0,5000.0,0.0,0.146268534502806,0.0,-0.014082874127953615,0.0,1.641794848988991,ETC,NOW,1
2020-04-29,6.737995939531592,321.99,-315.25200406046844,-325.0409795770147,-221.93494309945103,-273.4879613382329,0,0,5000.0,0.0,0.0,0.0,5000.0,0.0,0.2513272814497763,0.0,0.08987119030951507,0.0,1.1365485493001481,ETC,NOW,1
2020-04-30,6.479053838842568,351.54,-345.06094616115746,-325.0409795770147,-221.93494309945103,-273.4879613382329,1,2,4911.5644,385.4733360185593,2497.5024975024976,2460.78,4948.286897502498,-1.0342620499500481,0.20323860377529623,-0.010342620499500521,0.02172786290407025,0.0,1.6357206415976895,ETC,NOW,1
2020-05-01,6.661093216887661,339.51,-332.84890678311234,-325.0409795770147,-221.93494309945103,-273.4879613382329,0,0,4911.5644,385.4733360185593,2567.673823844283,2376.5699999999997,5102.668223844284,2.053364476885672,0.23704551640780952,0.031198944107243554,-0.0026699408980448425,-1.0,1.8870839060343791,ETC,NOW,1
2020-05-04,7.2214564957674146,354.64,-347.41854350423256,-325.0409795770147,-221.93494309945103,-273.4879613382329,0,0,4911.5644,385.4733360185593,2783.6789263363603,2482.48,5212.7633263363605,4.25526652672721,0.34111174985134446,0.021575986848922035,0.06521137449058068,0.6090799709407612,1.798427677153984,ETC,NOW,1
2020-05-05,7.1780576500799445,370.64,-363.46194234992004,-325.0409795770147,-221.93494309945103,-273.4879613382329,0,0,4911.5644,385.4733360185593,2766.9498285098566,2594.48,5084.034228509858,1.680684570197154,0.3330520596883469,-0.024694982251760145,0.01795918752806558,1.0905066243411672,2.2697410789193944,ETC,NOW,1
2020-05-06,7.036832313376233,365.39,-358.35316768662375,-325.0409795770147,-221.93494309945103,-273.4879613382329,0,0,4911.5644,385.4733360185593,2712.5112268403323,2557.73,5066.345626840333,1.326912536806667,0.3068248078117941,-0.0034792451967241567,-0.017022517871389198,0.36509581019671433,2.445668476694951,ETC,NOW,1
2020-05-07,7.124245051310821,381.83,-374.70575494868916,-325.0409795770147,-221.93494309945103,-273.4879613382329,0,0,4911.5644,385.4733360185593,2746.206506542494,2672.81,4984.960906542494,-0.3007818691501234,0.32305840971737393,-0.01606379159500726,0.028145022564921796,0.2932330506045532,2.1265737787253176,ETC,NOW,1
2020-05-08,7.18912496084001,377.26,-370.07087503916,-325.0409795770147,-221.93494309945103,-273.4879613382329,0,0,4911.5644,385.4733360185593,2771.215981709293,2640.8199999999997,5041.960381709294,0.8392076341858774,0.33510739305610715,0.011434287296414158,-0.0012335713276936389,-0.03510305027491706,2.3804519403007296,ETC,NOW,1
2020-05-11,6.003246257570717,383.65,-377.64675374242927,-325.0409795770147,-221.93494309945103,-273.4879613382329,0,0,4911.5644,385.4733360185593,2314.0913618467152,2685.5499999999997,4540.105761846717,-9.197884763065666,0.11487538531846087,-0.09953561350524565,-0.07667039103102913,0.18321291018610997,2.3270956610522027,ETC,NOW,1
2020-05-12,6.091139580497736,365.6,-359.5088604195023,-325.0409795770147,-221.93494309945103,-273.4879613382329,0,0,4911.5644,385.4733360185593,2347.97189424915,2559.2000000000003,4700.336294249149,-5.993274115017011,0.13119823766548983,0.03529224665842534,-0.018336236606481204,-0.7946450098426934,1.2737814476109806,ETC,NOW,1
2020-05-13,6.231610805739384,361.29,-355.05838919426066,-325.0409795770147,-221.93494309945103,-273.4879613382329,0,0,4911.5644,385.4733360185593,2402.1198060576626,2529.03,4784.654206057663,-4.306915878846739,0.15728544192933958,0.01793869768673284,0.00497643176855922,-0.45393200839947745,1.1297305694344992,ETC,NOW,1
2020-05-14,6.281175424229155,367.83,-361.5488245757708,-325.0409795770147,-221.93494309945103,-273.4879613382329,0,0,4911.5644,385.4733360185593,2421.2256448954017,2574.81,4757.980044895403,-4.840399102091942,0.16649019062130918,-0.0055749402179344765,0.013132084407868394,-0.30069417037122714,1.1636097820874296,ETC,NOW,1
2020-05-15,6.517311334066354,370.46,-363.94268866593364,-325.0409795770147,-221.93494309945103,-273.4879613382329,0,0,4911.5644,385.4733360185593,2512.2497418141247,2593.22,4830.594141814125,-3.3881171637175065,0.2103434830187803,0.015261538769298921,0.021982989738338787,-0.3469535420090476,1.2514734039871696,ETC,NOW,1
2020-05-18,6.705771221381358,374.87,-368.1642287786186,-325.0409795770147,-221.93494309945103,-273.4879613382329,0,0,4911.5644,385.4733360185593,2584.896003283121,2624.09,4872.370403283121,-2.552591934337579,0.2453427618210481,0.008648265667234645,0.020319624302444605,-0.21968593389753066,1.3939162620187548,ETC,NOW,1
2020-05-19,6.6537054767446735,382.88,-376.2262945232553,-325.0409795770147,-221.93494309945103,-273.4879613382329,0,0,4911.5644,385.4733360185593,2564.8260470057276,2680.16,4796.230447005728,-4.075391059885441,0.23567352377496376,-0.01562688177936722,0.00683567842587296,-0.1490136745745867,1.5264410712580307,ETC,NOW,1
