Asset A,Asset B,t-score,p-value,1% CV,5% CV,10% CV,Hurst Exponent,Half-life,Times Crossing the Mean,Dummy Same Label,Dummy Same Sector
ETC,ADBE,-3.3569492066430247,0.04736214966739625,-3.9404278716301335,-3.360483870622323,-3.0613229906777524,0.22589233239880824,-1717.6058990893728,15,0,0
ETC,AMGN,-3.367156084012768,0.046131625874326954,-3.9404278716301335,-3.360483870622323,-3.0613229906777524,0.250337905652933,-788.7102902283724,21,0,0
ETC,BBWI,-3.6184087791257067,0.023245340540497143,-3.9404278716301335,-3.360483870622323,-3.0613229906777524,0.2429008865613541,105.55239734278709,27,0,0
CDNS,ETC,-3.608932344289981,0.02388490337243997,-3.9404278716301335,-3.360483870622323,-3.0613229906777524,0.23198736830839867,-1323.8474663579286,31,0,0
ETC,CE,-3.3361673967298557,0.049951454738005,-3.9404278716301335,-3.360483870622323,-3.0613229906777524,0.262085319586503,489.1319567900157,13,0,0
CL,ETC,-3.75425618681158,0.015581422920305505,-3.9404278716301335,-3.360483870622323,-3.0613229906777524,0.1436336307093262,-14859.83878434628,43,0,0
ETC,CMI,-3.3411490913480955,0.0493203787472816,-3.9404278716301335,-3.360483870622323,-3.0613229906777524,0.2691331508412522,1082.4354877052722,17,0,0
ETC,CVS,-3.337872156870776,0.04973475377969922,-3.9404278716301335,-3.360483870622323,-3.0613229906777524,0.22536385842738316,-2174.8187135443964,14,0,0
ETC,EW,-3.481036890956904,0.034113859031505246,-3.9404278716301335,-3.360483870622323,-3.0613229906777524,0.21867750298149927,-1791.3523221572998,15,0,0
ETC,EOG,-3.3376166346191933,0.049767185165798034,-3.9404278716301335,-3.360483870622323,-3.0613229906777524,0.27817248325300076,173.17415480350093,19,0,0
ETC,ETSY,-3.5826148658500316,0.02574132474379886,-3.9404278716301335,-3.360483870622323,-3.0613229906777524,0.24322755188295186,640.2687998220877,12,0,0
FDS,ETC,-3.58170192246813,0.025807891506000824,-3.9404278716301335,-3.360483870622323,-3.0613229906777524,0.23209388609580778,4381.009917963377,35,0,0
ETC,GIS,-3.3712172474297364,0.045649437591960995,-3.9404278716301335,-3.360483870622323,-3.0613229906777524,0.17797658308191547,-850.6915815426566,19,0,0
ETC,HPQ,-3.3931153827858878,0.04312091487412304,-3.9404278716301335,-3.360483870622323,-3.0613229906777524,0.23410526792137126,276.55837412721297,35,0,0
INCY,ETC,-3.7825867627691934,0.014297708899550543,-3.9404278716301335,-3.360483870622323,-3.0613229906777524,0.2739860180462873,-578.6582512681591,21,0,0
IPGP,ETC,-3.449748112048058,0.03711775376128191,-3.9404278716301335,-3.360483870622323,-3.0613229906777524,0.21364887762577203,261.07739445381435,25,0,0
ETC,K,-3.353416859641387,0.04779427178173628,-3.9404278716301335,-3.360483870622323,-3.0613229906777524,0.16735943371291648,-1851.6700307742208,19,0,0
ETC,KEYS,-3.419823886301236,0.04019586938795192,-3.9404278716301335,-3.360483870622323,-3.0613229906777524,0.22418950112758157,2342.9398227272773,23,0,0
ETC,KLAC,-3.3545683910327795,0.04765304535648453,-3.9404278716301335,-3.360483870622323,-3.0613229906777524,0.19668799224685946,-1641.5649644350947,15,0,0
ETC,MKTX,-3.479117620183328,0.0342920092332383,-3.9404278716301335,-3.360483870622323,-3.0613229906777524,0.22174602648091915,-485.6454679307099,27,0,0
ETC,MTD,-3.5473770063054664,0.028420328083352705,-3.9404278716301335,-3.360483870622323,-3.0613229906777524,0.24976686486790498,1946.5152519415835,12,0,0
ETC,MNST,-3.8046091562898305,0.013365277155426118,-3.9404278716301335,-3.360483870622323,-3.0613229906777524,0.18504503743540573,-75903.0019752712,20,0,0
ETC,NFLX,-3.5603096850874936,0.02741060396709322,-3.9404278716301335,-3.360483870622323,-3.0613229906777524,0.2202254811591109,-3102.059421972768,16,0,0
ETC,ORLY,-3.4025961397556275,0.04206293584174276,-3.9404278716301335,-3.360483870622323,-3.0613229906777524,0.23808278255374213,1285.4632314039948,17,0,0
ETC,PKG,-3.577526069894224,0.026114261898148017,-3.9404278716301335,-3.360483870622323,-3.0613229906777524,0.18426984581989253,1084.5606598332795,12,0,0
PYPL,ETC,-3.609429260117253,0.023850992970293448,-3.9404278716301335,-3.360483870622323,-3.0613229906777524,0.1839572649811016,20558.11576185538,31,0,0
ETC,PM,-3.5638006143546592,0.027143376605488836,-3.9404278716301335,-3.360483870622323,-3.0613229906777524,0.2526148301873108,1048.7248278080162,17,0,0
STE,ETC,-3.5717951355601834,0.02653980932892329,-3.9404278716301335,-3.360483870622323,-3.0613229906777524,0.28558894678467533,-1436.942936365524,19,0,0
ETC,TTWO,-3.4518118371440036,0.036912986309241974,-3.9404278716301335,-3.360483870622323,-3.0613229906777524,0.18663937408930537,-826.7393331804739,13,0,0
ETC,WMT,-3.6068868718570286,0.024024928694906314,-3.9404278716301335,-3.360483870622323,-3.0613229906777524,0.1877823998577867,-680.6486011916996,17,0,0
