,PricesA,PricesB,Spread,Buy signal,Short signal,Exit signal,stateA,stateB,cash,assets,holding,debt,total,roi_gross,roi_buy&hold,roi_daily,roi_daily_buy&hold,sharpe,sharpe_buy&hold,Asset A,Asset B,Pair Number
2021-04-22,200.9,67.75,0.0,-0.2002783458100927,0.2002783458100927,0,0,0,5000.0,0.0,0.0,0.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,MMM,AOS,1
2021-04-23,202.2,68.36,-0.0025328090015594995,-0.2002783458100927,0.2002783458100927,0,0,0,5000.0,0.0,0.0,0.0,5000.0,0.0,0.006470881035340881,0.0,0.0077372855361206305,0.0,0.0,MMM,AOS,1
2021-04-26,199.63,67.9,-0.008535575151670138,-0.2002783458100927,0.2002783458100927,0,0,0,5000.0,0.0,0.0,0.0,5000.0,0.0,-0.006321553011448534,0.0,-0.00971587646131944,0.0,1.0,MMM,AOS,1
2021-04-27,194.45,68.12,-0.037566779749430235,-0.2002783458100927,0.2002783458100927,0,0,0,5000.0,0.0,0.0,0.0,5000.0,0.0,-0.03210552513688411,0.0,-0.011291560042284488,0.0,-0.1306240077140751,MMM,AOS,1
2021-04-28,195.93,66.54,-0.0068788973604022585,-0.2002783458100927,0.2002783458100927,0,0,0,5000.0,0.0,0.0,0.0,5000.0,0.0,-0.02473867595818815,0.0,-0.008084798798985382,0.0,-0.7453432629875554,MMM,AOS,1
2021-04-29,199.05,68.41,-0.018950258890343963,-0.2002783458100927,0.2002783458100927,0,0,0,5000.0,0.0,0.0,0.0,5000.0,0.0,-0.009208561473369807,0.0,0.022035126415410167,0.0,-1.193963699298541,MMM,AOS,1
2021-04-30,197.14,67.75,-0.0187157789945247,-0.2002783458100927,0.2002783458100927,0,0,0,5000.0,0.0,0.0,0.0,5000.0,0.0,-0.018715778994524736,0.0,-0.009621892580674363,0.0,0.02151858539969513,MMM,AOS,1
2021-05-03,198.61,70.29,-0.04888948073154198,-0.2002783458100927,0.2002783458100927,0,0,0,5000.0,0.0,0.0,0.0,5000.0,0.0,-0.011398705823792892,0.0,0.02261555793128034,0.0,-0.2738508687749033,MMM,AOS,1
2021-05-04,199.38,71.53,-0.06335931114413196,-0.2002783458100927,0.2002783458100927,0,0,0,5000.0,0.0,0.0,0.0,5000.0,0.0,-0.007565953210552565,0.0,0.010925138090629005,0.0,0.3402281661586471,MMM,AOS,1
2021-05-05,201.44,71.22,-0.04852980774705706,-0.2002783458100927,0.2002783458100927,0,0,0,5000.0,0.0,0.0,0.0,5000.0,0.0,0.0026879044300646693,0.0,0.0027722565722274606,0.0,0.6010581227840297,MMM,AOS,1
2021-05-06,202.41,71.34,-0.045472752686710693,-0.2002783458100927,0.2002783458100927,0,0,0,5000.0,0.0,0.0,0.0,5000.0,0.0,0.007516177202588308,0.0,0.0032131420408705313,0.0,0.6729628733585129,MMM,AOS,1
2021-05-07,203.07,71.13,-0.0390879051647659,-0.2002783458100927,0.2002783458100927,0,0,0,5000.0,0.0,0.0,0.0,5000.0,0.0,0.010801393728222934,0.0,9.00679783251146e-05,0.0,0.7556987585812855,MMM,AOS,1
2021-05-10,207.33,72.25,-0.0344146910856864,-0.2002783458100927,0.2002783458100927,0,0,0,5000.0,0.0,0.0,0.0,5000.0,0.0,0.03200597312095574,0.0,0.018312279878542004,0.0,0.7593857753312592,MMM,AOS,1
2021-05-11,203.72,70.87,-0.03201482627071184,-0.2002783458100927,0.2002783458100927,0,0,0,5000.0,0.0,0.0,0.0,5000.0,0.0,0.014036834245893446,0.0,-0.01826994657955905,0.0,1.1332421200608285,MMM,AOS,1
2021-05-12,198.87,68.49,-0.021027038841816892,-0.2002783458100927,0.2002783458100927,0,0,0,5000.0,0.0,0.0,0.0,5000.0,0.0,-0.010104529616724743,0.0,-0.02877085877855179,0.0,0.6345572022509067,MMM,AOS,1
2021-05-13,203.41,71.06,-0.03636231056188133,-0.2002783458100927,0.2002783458100927,0,0,0,5000.0,0.0,0.0,0.0,5000.0,0.0,0.012493777999004436,0.0,0.03025357007406071,0.0,0.033925203654680144,MMM,AOS,1
2021-05-14,204.38,71.77,-0.042013742586405334,-0.2002783458100927,0.2002783458100927,0,0,0,5000.0,0.0,0.0,0.0,5000.0,0.0,0.017322050771528073,0.0,0.007426190875165828,0.0,0.49786368071813025,MMM,AOS,1
2021-05-17,205.11,70.87,-0.025095961163693392,-0.2002783458100927,0.2002783458100927,0,0,0,5000.0,0.0,0.0,0.0,5000.0,0.0,0.020955699352911937,0.0,-0.004647122917829649,0.0,0.6117387192779004,MMM,AOS,1
2021-05-18,203.03,68.87,-0.00592907561728695,-0.2002783458100927,0.2002783458100927,0,0,0,5000.0,0.0,0.0,0.0,5000.0,0.0,0.01060228969636633,0.0,-0.01929054808107422,0.0,0.5378109919977154,MMM,AOS,1
2021-05-19,202.6,68.62,-0.004379407059376783,-0.2002783458100927,0.2002783458100927,0,0,0,5000.0,0.0,0.0,0.0,5000.0,0.0,0.008461921353907359,0.0,-0.0028761819569312896,0.0,0.22961964253186012,MMM,AOS,1
2021-05-20,201.65,68.93,-0.01368377357242978,-0.2002783458100927,0.2002783458100927,0,0,0,5000.0,0.0,0.0,0.0,5000.0,0.0,0.0037332005973120955,0.0,-7.573084353140747e-05,0.0,0.18750649210642314,MMM,AOS,1
2021-05-21,201.86,69.27,-0.01765692758968407,-0.2002783458100927,0.2002783458100927,0,0,0,5000.0,0.0,0.0,0.0,5000.0,0.0,0.004778496764559522,0.0,0.0030001463658919647,0.0,0.18662129395670016,MMM,AOS,1
2021-05-24,202.61,69.18,-0.012595313708239297,-0.2002783458100927,0.2002783458100927,0,0,0,5000.0,0.0,0.0,0.0,5000.0,0.0,0.008511697361871618,0.0,0.0011862523674128767,0.0,0.23070195362492527,MMM,AOS,1
2021-05-25,201.71,69.16,-0.016779951472984056,-0.2002783458100927,0.2002783458100927,0,0,0,5000.0,0.0,0.0,0.0,5000.0,0.0,0.004031856645097074,0.0,-0.002352680160547793,0.0,0.24834382241574443,MMM,AOS,1
2021-05-26,201.58,69.96,-0.029235157657698796,-0.2002783458100927,0.2002783458100927,0,0,0,5000.0,0.0,0.0,0.0,5000.0,0.0,0.003384768541563001,0.0,0.00551204528619853,0.0,0.21379986141587326,MMM,AOS,1
