Asset A,Asset B,Normal SDD,SDD,Dummy Same Sector
ADA,AION,inf,60339.65899854034,0
ADA,ALGO,inf,48825.18991910095,0
ADA,ATOM,0.0,41820.043565832064,0
ADA,BAND,inf,20793.07459988745,0
ADA,BAT,0.0,52969.240325843,0
ADA,BCH,inf,65972.74523837518,0
ADA,BNB,inf,15707.321771362718,0
ADA,BNT,inf,6255.94725122053,0
ADA,BTC,0.0,44352.189638212316,0
ADA,BTS,inf,56745.72106434737,0
ADA,BTT,0.0,29253.6100022422,0
ADA,BUSD,inf,73977.98343470802,0
ADA,CTXC,inf,63399.16215371714,0
ADA,CVC,0.0,5443.6858711768045,0
ADA,DASH,inf,64827.62679853149,0
ADA,DATA,inf,64096.31455325168,0
ADA,DENT,inf,191799.65924990227,0
ADA,DOGE,0.0,134112.25542043807,0
ADA,ENJ,0.0,23133.32634713291,0
ADA,EOS,inf,69791.29474709558,0
ADA,ETC,inf,64725.430448015846,0
ADA,ETH,0.0,34668.12643307797,0
ADA,FTT,inf,26030.170237976476,0
ADA,FUN,inf,10811.493008258294,0
ADA,GTO,0.0,38604.78961352707,0
ADA,HBAR,inf,45689.40831898552,0
ADA,ICX,0.0,41960.92203514412,0
ADA,IOST,0.0,21131.71878148213,0
ADA,IOTA,0.0,38273.13446431608,0
ADA,IOTX,0.0,21523.93446274258,0
ADA,LINK,inf,41244.427685415074,0
ADA,LSK,inf,59343.875086350155,0
ADA,LTC,inf,54877.882233761135,0
ADA,MATIC,inf,11016.855570523063,0
ADA,MITH,inf,26841.279682181215,0
ADA,NANO,0.0,35732.420587238266,0
ADA,NEO,0.0,48117.219734744416,0
ADA,NULS,inf,57460.22155468979,0
ADA,OMG,0.0,33246.69024477214,0
ADA,ONT,inf,62743.72742682201,0
ADA,QTUM,0.0,48930.98801694378,0
ADA,RLC,0.0,45108.00061121602,0
ADA,STX,inf,24762.321178632028,0
ADA,THETA,0.0,363339.6382425871,0
ADA,TRX,0.0,51657.640331429175,0
ADA,TUSD,inf,73980.15665154449,0
ADA,VET,0.0,16944.485799081467,0
ADA,WAN,0.0,37466.32059807044,0
ADA,WAVES,inf,30956.653805069727,0
ADA,WTC,inf,56382.553722333556,0
ADA,XLM,0.0,41992.43006124401,0
ADA,XMR,0.0,57675.03063047404,0
ADA,XRP,inf,60509.99523795534,0
ADA,XTZ,inf,69118.47409973144,0
ADA,ZEC,inf,61590.025475137125,0
ADA,ZIL,0.0,11889.32587991325,0
ADA,ZRX,0.0,38370.09670281795,0
AION,ALGO,195045167.8229008,895.978125295737,0
AION,ATOM,inf,2057.1301658469733,0
AION,BAND,36639678.17148495,54920.2097400411,0
AION,BAT,inf,299.13018919264056,0
AION,BCH,24726.269287885203,353.1323243743881,0
AION,BNB,16999645.74894535,21660.7651797818,0
AION,BNT,26546948.658639006,77467.58059697608,0
AION,BTC,inf,1843.776989341302,0
AION,BTS,11657.427361645754,134.42669725422763,0
AION,BTT,inf,23610.417982981835,0
AION,BUSD,64306.223657005066,898.3211074897339,0
AION,CTXC,24454.562804624744,97.27772629293665,0
AION,CVC,inf,36532.166916646005,0
AION,DASH,34317.548887287754,274.1560969461076,0
AION,DATA,28409.79423710436,130.30823550811238,0
AION,DENT,3147615848.035802,349564.7960161036,0
AION,DOGE,inf,249286.56872497904,0
AION,ENJ,inf,14839.80210453535,0
AION,EOS,36449.53663274299,486.371038990368,0
AION,ETC,18416.474276028734,261.7392810627827,0
AION,ETH,inf,4740.853653157773,0
AION,FTT,1198707226.9062822,7785.098631906384,0
AION,FUN,12366757737.377928,27514.36357170232,0
AION,GTO,inf,4851.968418127814,0
AION,HBAR,66776.88283915474,1400.2904211585428,0
AION,ICX,inf,1806.1776961990968,0
AION,IOST,inf,11002.830065165834,0
AION,IOTA,inf,2714.1100979779962,0
AION,IOTX,inf,11490.299387991432,0
AION,LINK,7682494.202034277,3040.420729580291,0
AION,LSK,355548.9477311414,46.30965991105797,0
AION,LTC,4120742.3336503594,524.3392180995689,0
AION,MATIC,19677269.194683746,30183.70644772106,0
AION,MITH,401172752.0789319,20588.43322777786,0
AION,NANO,inf,4461.15633957703,0
AION,NEO,inf,1217.0844278942768,0
AION,NULS,1488135.0967675203,127.96175875879169,0
AION,OMG,inf,8921.811012493969,0
AION,ONT,3017623.9313859944,92.4659497601938,0
AION,QTUM,inf,982.1855715333936,0
AION,RLC,inf,2286.328964157493,0
AION,STX,37185747.867580354,10020.113541289902,0
AION,THETA,inf,664873.4508386293,0
AION,TRX,inf,676.2302730417792,0
AION,TUSD,65435.61360473945,898.5524595117658,0
AION,VET,inf,44685.28935450185,0
AION,WAN,inf,3284.4306585319573,0
AION,WAVES,2085790.0383818839,7711.258073397449,0
AION,WTC,3828.0315127823287,111.89420503660726,0
AION,XLM,inf,2367.2275364207567,0
AION,XMR,inf,350.2624146332639,0
AION,XRP,81306.59749485417,315.4682923134078,0
AION,XTZ,46466.92485153268,426.3570378400995,0
AION,ZEC,12938.122872147165,159.10670806847358,0
AION,ZIL,inf,104794.0651688594,0
AION,ZRX,inf,2968.786380323905,0
ALGO,ATOM,inf,345.8095269388975,0
ALGO,BAND,76149094.53029944,43714.876618184906,0
ALGO,BAT,inf,415.75926917090464,0
ALGO,BCH,197429492.28171337,1454.8333386690183,0
ALGO,BNB,109544601.71126267,16744.363216453992,0
