Asset A,Asset B,t-score,p-value,1% CV,5% CV,10% CV,Hurst Exponent,Half-life,Times Crossing the Mean,Dummy Same Label,Dummy Same Sector
ALGO,ADA,-4.336992179837941,0.002240521891465426,-3.926613507718953,-3.352875196930335,-3.05605828331691,0.18296589655517348,24.169021852855888,32,0,0
RLC,ADA,-3.569535335954968,0.026709239202625103,-3.926613507718953,-3.352875196930335,-3.05605828331691,0.20287238927094434,110.73671043362623,39,0,0
THETA,ADA,-4.188508252280451,0.003796817897330741,-3.926613507718953,-3.352875196930335,-3.05605828331691,0.2904581533680428,-161.35388722592626,13,0,0
XTZ,ADA,-3.3704608984730853,0.04573892220599783,-3.926613507718953,-3.352875196930335,-3.05605828331691,0.22017652647906807,828.9232343101272,29,0,0
ZRX,ADA,-4.4174496342564,0.0016682664853323859,-3.926613507718953,-3.352875196930335,-3.05605828331691,0.21010790151624412,45.819582838530835,18,0,0
AION,BTS,-3.8258553544460816,0.012517142476581011,-3.926613507718953,-3.352875196930335,-3.05605828331691,0.2098506152569678,333.22856068281175,21,0,0
AION,CTXC,-3.8413003291817156,0.011930914627146723,-3.926613507718953,-3.352875196930335,-3.05605828331691,0.058258803778215,2.6301780601846265,50,0,0
DENT,AION,-3.9385014920409325,0.008770408889246139,-3.926613507718953,-3.352875196930335,-3.05605828331691,0.22463423926919557,-1385.426846575833,13,0,0
DOGE,AION,-3.5527487335666708,0.027997128030747827,-3.926613507718953,-3.352875196930335,-3.05605828331691,0.19484468767030397,54.31174219363437,14,0,0
EOS,AION,-4.074208011920262,0.005612415771064683,-3.926613507718953,-3.352875196930335,-3.05605828331691,0.22477322507718295,-916.0556448012147,21,0,0
AION,HBAR,-5.460658162844674,2.1487754583882127e-05,-3.926613507718953,-3.352875196930335,-3.05605828331691,0.2639564158386246,28.88553294833044,28,0,0
AION,MATIC,-5.314581717522687,4.173350458343341e-05,-3.926613507718953,-3.352875196930335,-3.05605828331691,0.2156817372249183,52.86755620136185,27,0,0
AION,ZEC,-3.396283147926974,0.042764978719445554,-3.926613507718953,-3.352875196930335,-3.05605828331691,0.2428582420601359,-149.53609351581215,17,0,0
ALGO,XLM,-3.4106421006979297,0.04118213422044577,-3.926613507718953,-3.352875196930335,-3.05605828331691,0.1993956816487831,384.88429966689415,13,0,0
ALGO,ZRX,-6.344728380903401,2.8267136897366555e-07,-3.926613507718953,-3.352875196930335,-3.05605828331691,0.11004809818580709,17.826748253271752,15,0,0
EOS,BAT,-4.714443672564382,0.0005324055115098868,-3.926613507718953,-3.352875196930335,-3.05605828331691,0.22557504274413134,3395.5233008802284,25,0,0
BAT,STX,-4.308257486924064,0.0024855596793510607,-3.926613507718953,-3.352875196930335,-3.05605828331691,0.1359331279382767,11.690415219978153,17,0,0
XRP,BAT,-3.736546645961356,0.016434459611565637,-3.926613507718953,-3.352875196930335,-3.05605828331691,0.2380996501253902,19.4862936277499,18,0,0
ZEC,BAT,-3.516332853716887,0.030974723971046687,-3.926613507718953,-3.352875196930335,-3.05605828331691,0.2428990589404858,-150.1554589310869,17,0,0
BNT,ETC,-3.725025447992545,0.017011192525093803,-3.926613507718953,-3.352875196930335,-3.05605828331691,0.24990872974242298,-57.346156056172426,29,0,0
BNT,LINK,-3.5417973267772522,0.028865693650166932,-3.926613507718953,-3.352875196930335,-3.05605828331691,0.21488852968414485,-278.52901812803566,13,0,0
LSK,BNT,-6.055698057481621,1.2298882654533373e-06,-3.926613507718953,-3.352875196930335,-3.05605828331691,0.2613312932366511,65.2098560510657,21,0,0
QTUM,BNT,-4.087191753994063,0.005372339927470294,-3.926613507718953,-3.352875196930335,-3.05605828331691,0.28568520740031034,232.2487117366058,37,0,0
THETA,BNT,-3.8948484959697813,0.010082932381855998,-3.926613507718953,-3.352875196930335,-3.05605828331691,0.27019416557203496,43.159704307561235,12,0,0
XTZ,BNT,-4.302703900938451,0.002535683057284484,-3.926613507718953,-3.352875196930335,-3.05605828331691,0.27751808817646834,84.14354425259911,15,0,0
ZEC,BNT,-4.229020145255044,0.003295133857056526,-3.926613507718953,-3.352875196930335,-3.05605828331691,0.2447774610335646,-151.64129278986937,17,0,0
CTXC,BTS,-3.4240343210112223,0.039750257436825094,-3.926613507718953,-3.352875196930335,-3.05605828331691,0.07159223664279983,59.648959561933786,19,0,0
EOS,BTS,-4.528436075301786,0.0010993088957608802,-3.926613507718953,-3.352875196930335,-3.05605828331691,0.22755009007712815,-816.9228959351776,23,0,0
GTO,BTS,-3.4038346233087187,0.04192634288411534,-3.926613507718953,-3.352875196930335,-3.05605828331691,0.08428681678116255,25.60458081940076,17,0,0
BTS,IOST,-3.9596805456317035,0.008190637278033567,-3.926613507718953,-3.352875196930335,-3.05605828331691,0.2007941678642286,51.93400011144892,21,0,0
MITH,BTS,-3.9869172349176107,0.007495788422912982,-3.926613507718953,-3.352875196930335,-3.05605828331691,0.1222072884917231,18.500900002103077,24,0,0
VET,BTS,-3.51383276348158,0.031188688197062147,-3.926613507718953,-3.352875196930335,-3.05605828331691,0.2344353037769389,210.44225399382506,23,0,0
XTZ,BTS,-3.4327830623599196,0.03883755442132827,-3.926613507718953,-3.352875196930335,-3.05605828331691,0.2217696618305701,-1757.7442151905934,19,0,0
BTS,ZEC,-3.520992157771922,0.030579301829417718,-3.926613507718953,-3.352875196930335,-3.05605828331691,0.24290330885580777,-149.5874185082486,17,0,0
TUSD,BUSD,-18.418373737056825,1.462168637811951e-29,-3.926613507718953,-3.352875196930335,-3.05605828331691,0.0009409285593571192,0.7342717022773679,144,1,0
CTXC,DENT,-4.751046661985933,0.0004598933045691178,-3.926613507718953,-3.352875196930335,-3.05605828331691,0.11418186631406049,138.639588128701,15,0,0
DOGE,CTXC,-4.133647133569518,0.0045878802425379055,-3.926613507718953,-3.352875196930335,-3.05605828331691,0.09533114228033668,35.762697865480156,20,0,0
EOS,CTXC,-3.4484876785135303,0.03724328635412301,-3.926613507718953,-3.352875196930335,-3.05605828331691,0.2232289867604296,-905.5756620251227,23,0,0
CTXC,HBAR,-4.296477982509037,0.0025929828630564334,-3.926613507718953,-3.352875196930335,-3.05605828331691,0.10612932356728928,11.6560567497973,24,0,0
CTXC,IOTX,-4.174129209819008,0.003991086414193056,-3.926613507718953,-3.352875196930335,-3.05605828331691,0.10789930736370361,102.11519906740435,17,0,0
CTXC,MATIC,-4.262293192791789,0.0029294543522333225,-3.926613507718953,-3.352875196930335,-3.05605828331691,0.10808706286012539,17.555637454842238,33,0,0
DOGE,CVC,-3.950766411576568,0.00843032472805706,-3.926613507718953,-3.352875196930335,-3.05605828331691,0.18409902640756334,76.8756442852237,13,0,0
HBAR,CVC,-4.238281349782637,0.003189350184357024,-3.926613507718953,-3.352875196930335,-3.05605828331691,0.22611730313001657,56.87677354851371,17,0,0
XRP,CVC,-3.3911093218647013,0.04334759260673881,-3.926613507718953,-3.352875196930335,-3.05605828331691,0.25933788489562704,161.37683348092307,21,0,0
CVC,ZIL,-3.701707065935315,0.01823301248692073,-3.926613507718953,-3.352875196930335,-3.05605828331691,0.1893045812935762,224.33164893223756,17,0,0
DOGE,DATA,-3.452610479313208,0.03683399883539585,-3.926613507718953,-3.352875196930335,-3.05605828331691,0.18259584941595236,23.57207117570192,22,0,0
EOS,DATA,-4.649358665633352,0.0006886520301021797,-3.926613507718953,-3.352875196930335,-3.05605828331691,0.22712265423294586,-819.7044546034874,21,0,0
EOS,DENT,-4.156825352207039,0.004236912100176385,-3.926613507718953,-3.352875196930335,-3.05605828331691,0.22789142435394083,-776.8779443961001,23,0,0
DENT,LINK,-3.382670801106529,0.04431200020569156,-3.926613507718953,-3.352875196930335,-3.05605828331691,0.1974584594342171,-222.09865639584365,15,0,0
TRX,DENT,-3.861428904138643,0.011203599525513554,-3.926613507718953,-3.352875196930335,-3.05605828331691,0.24701484207998675,-154.4863710789942,13,0,0
XTZ,DENT,-3.6259211759331955,0.02274890398181076,-3.926613507718953,-3.352875196930335,-3.05605828331691,0.22220253924558103,-1552.44749535469,15,0,0
DENT,ZEC,-4.059293500969836,0.005900188699962811,-3.926613507718953,-3.352875196930335,-3.05605828331691,0.24289649819338013,-149.58705736671067,17,0,0
DOGE,EOS,-4.420743718196008,0.001648022200691868,-3.926613507718953,-3.352875196930335,-3.05605828331691,0.22653225720640668,-1112.852351592721,21,0,0
DOGE,IOST,-3.705508700672485,0.01802872627558587,-3.926613507718953,-3.352875196930335,-3.05605828331691,0.17095200310647155,21.875134273128992,13,0,0
DOGE,ONT,-4.351737796068446,0.002123640439777331,-3.926613507718953,-3.352875196930335,-3.05605828331691,0.21948856205471987,-1457.7666681439296,13,0,0
DOGE,VET,-3.627902351003902,0.02261952245389641,-3.926613507718953,-3.352875196930335,-3.05605828331691,0.10853452616563398,4.568137353746219,18,0,0
DOGE,ZEC,-4.190742665707537,0.003767419544910943,-3.926613507718953,-3.352875196930335,-3.05605828331691,0.24280732958282858,-149.9967324721163,17,0,0
EOS,ENJ,-6.257831051716324,4.42042839888661e-07,-3.926613507718953,-3.352875196930335,-3.05605828331691,0.22984682029317652,313.4234087749802,19,0,0
ICX,ENJ,-3.7087666921888234,0.017855249655673495,-3.926613507718953,-3.352875196930335,-3.05605828331691,0.27383031472743,30.696127425377295,20,0,0
ENJ,ZEC,-3.88463709016541,0.010414233988215565,-3.926613507718953,-3.352875196930335,-3.05605828331691,0.24268836694188373,-151.62036530966148,15,0,0
ZRX,ENJ,-3.639487177019944,0.02187565433270229,-3.926613507718953,-3.352875196930335,-3.05605828331691,0.28982267000257633,47.22694933896582,14,0,0
GTO,EOS,-3.880234046262224,0.010560061909554096,-3.926613507718953,-3.352875196930335,-3.05605828331691,0.22594109082213562,-818.3231486818669,21,0,0
EOS,HBAR,-6.823599835757039,2.242243323294347e-08,-3.926613507718953,-3.352875196930335,-3.05605828331691,0.22955512370763806,-1059.5822930609456,21,0,0
EOS,ICX,-3.942242495455973,0.00866539497384448,-3.926613507718953,-3.352875196930335,-3.05605828331691,0.21666239809317012,600.4190262056196,29,0,0
EOS,IOST,-3.99189441127114,0.0073747131917929675,-3.926613507718953,-3.352875196930335,-3.05605828331691,0.22823193934419306,-806.5558852094781,21,0,0
EOS,IOTA,-4.075665397043354,0.005584990711416767,-3.926613507718953,-3.352875196930335,-3.05605828331691,0.20718541750886144,865.3741755604204,35,1,0
EOS,IOTX,-6.317259872002135,3.25731963675381e-07,-3.926613507718953,-3.352875196930335,-3.05605828331691,0.22808965019056707,-800.4082924743284,23,0,0
EOS,LSK,-4.354753429400972,0.0021004432818701787,-3.926613507718953,-3.352875196930335,-3.05605828331691,0.1686489602260992,78.90570511099263,42,0,0
EOS,MATIC,-6.117874448831662,9.000868830513192e-07,-3.926613507718953,-3.352875196930335,-3.05605828331691,0.23140539937329807,-1325.5771301270156,19,0,0
MITH,EOS,-3.4622146260140543,0.035895222003006044,-3.926613507718953,-3.352875196930335,-3.05605828331691,0.22610393457651107,-814.567679955916,19,0,0
EOS,STX,-4.928140666203439,0.00022269517539678994,-3.926613507718953,-3.352875196930335,-3.05605828331691,0.2058719229235282,407.92798911537966,39,0,0
EOS,VET,-5.415347161868618,2.6446413383704082e-05,-3.926613507718953,-3.352875196930335,-3.05605828331691,0.22660212456026682,-996.3379543511119,21,0,0
EOS,WAN,-4.941167157738486,0.00021089927551576538,-3.926613507718953,-3.352875196930335,-3.05605828331691,0.1999668590778061,1988.8049488368354,31,0,0
EOS,WTC,-4.46078060380455,0.001419558419378937,-3.926613507718953,-3.352875196930335,-3.05605828331691,0.2063735407687209,4306.899322940252,41,0,0
EOS,ZEC,-4.0051110125321125,0.007061719393173811,-3.926613507718953,-3.352875196930335,-3.05605828331691,0.242040310384334,-146.71186238509128,17,1,0
LSK,ETC,-6.856356396769024,1.877883503874579e-08,-3.926613507718953,-3.352875196930335,-3.05605828331691,0.24045922068750758,-48.48139893915653,13,0,0
ETC,QTUM,-3.572173495987352,0.026511531907339007,-3.926613507718953,-3.352875196930335,-3.05605828331691,0.17480664383041167,-78.94902443343243,29,0,0
THETA,ETC,-5.835959038186477,3.6362548144759817e-06,-3.926613507718953,-3.352875196930335,-3.05605828331691,0.2646701377364032,-90.11545515318849,35,0,0
ZEC,FUN,-3.8152280742155273,0.012935217284856988,-3.926613507718953,-3.352875196930335,-3.05605828331691,0.24290416973812032,-149.57977267036765,17,0,0
GTO,IOTX,-3.8413571844518857,0.011928802486875915,-3.926613507718953,-3.352875196930335,-3.05605828331691,0.20223028779391164,11.9181182014024,17,0,0
VET,GTO,-3.4105352137205585,0.04119373351262332,-3.926613507718953,-3.352875196930335,-3.05605828331691,0.1825198056369477,393.10664586292387,13,0,0
HBAR,LINK,-3.501785292187816,0.03223745402767125,-3.926613507718953,-3.352875196930335,-3.05605828331691,0.1975567326651809,-224.28181337943943,15,0,0
HBAR,MATIC,-5.040434300551592,0.00013864369862343613,-3.926613507718953,-3.352875196930335,-3.05605828331691,0.13789899034354633,12.991240768212949,13,0,0
STX,HBAR,-5.423573070431132,2.5470977194643903e-05,-3.926613507718953,-3.352875196930335,-3.05605828331691,0.17178233454536973,358.307834272563,13,0,0
WTC,HBAR,-4.733833856477447,0.000492747027741076,-3.926613507718953,-3.352875196930335,-3.05605828331691,0.20457406080503807,495.0418348152356,13,0,0
XTZ,HBAR,-3.547042039384423,0.028446898050578664,-3.926613507718953,-3.352875196930335,-3.05605828331691,0.22192902461844383,-3384.157076454561,15,0,0
HBAR,ZEC,-4.538696119823523,0.001057100857665476,-3.926613507718953,-3.352875196930335,-3.05605828331691,0.24291409396251318,-149.71246752341818,17,0,0
IOTA,ICX,-5.516318016555287,1.661550810842685e-05,-3.926613507718953,-3.352875196930335,-3.05605828331691,0.19881444423574648,28.111855712838953,18,0,0
RLC,ICX,-3.4152603957405936,0.04068356000225371,-3.926613507718953,-3.352875196930335,-3.05605828331691,0.19122741707678212,38.977217716871436,28,0,0
STX,ICX,-3.9820182817708476,0.007616707762625058,-3.926613507718953,-3.352875196930335,-3.05605828331691,0.1651661276641896,18.811699341250055,14,0,0
XTZ,ICX,-3.422639528552539,0.03989741504050173,-3.926613507718953,-3.352875196930335,-3.05605828331691,0.21674190656930584,448.1398294496256,27,0,0
ZEC,ICX,-4.018670815859823,0.006753111761060764,-3.926613507718953,-3.352875196930335,-3.05605828331691,0.24330844524202688,-149.4558226612116,15,0,0
ZRX,ICX,-3.5227258268205417,0.0304332718413714,-3.926613507718953,-3.352875196930335,-3.05605828331691,0.16830935265966196,16.484215653080362,13,0,0
RLC,IOST,-3.7402598309186788,0.016252278134028613,-3.926613507718953,-3.352875196930335,-3.05605828331691,0.2032705270670606,819.5291317172305,25,0,0
XTZ,IOST,-3.7923643644398672,0.013876855767425396,-3.926613507718953,-3.352875196930335,-3.05605828331691,0.22222704017326692,-1688.3053739680763,17,0,0
IOST,ZEC,-3.4396615641054304,0.038132364520601064,-3.926613507718953,-3.352875196930335,-3.05605828331691,0.24289257998695596,-149.60123308883323,17,0,0
WAN,IOTA,-4.517795667318309,0.00114474227233067,-3.926613507718953,-3.352875196930335,-3.05605828331691,0.15801858502609775,9.706291430295387,31,0,0
WTC,IOTA,-3.6729347410865567,0.01984582085106028,-3.926613507718953,-3.352875196930335,-3.05605828331691,0.176497981212086,10.707963977205651,17,0,0
TRX,IOTX,-5.782392088051126,4.71371670696218e-06,-3.926613507718953,-3.352875196930335,-3.05605828331691,0.25021005664236934,2869.53451238749,35,0,0
ZEC,IOTX,-3.682508186483936,0.01929590263293344,-3.926613507718953,-3.352875196930335,-3.05605828331691,0.2429018509883905,-149.59688692458897,17,0,0
TRX,LINK,-4.149276405540775,0.004348429275300359,-3.926613507718953,-3.352875196930335,-3.05605828331691,0.1973678959810008,-222.97231824770094,15,0,0
WAN,LINK,-4.1060452491912915,0.005040329473276444,-3.926613507718953,-3.352875196930335,-3.05605828331691,0.19622278183921874,-230.4526826517203,15,0,0
LSK,ZEC,-4.1125322312104435,0.004930485778384906,-3.926613507718953,-3.352875196930335,-3.05605828331691,0.24263387392516395,-148.807050352777,15,0,0
ONT,MATIC,-3.979367811272084,0.007682858673039319,-3.926613507718953,-3.352875196930335,-3.05605828331691,0.20502469722563488,5063.770278897445,19,0,0
XTZ,MATIC,-3.6472952661510916,0.021386342720691846,-3.926613507718953,-3.352875196930335,-3.05605828331691,0.22341867372525337,-9991.506968911026,17,0,0
ZEC,MATIC,-4.097435790971375,0.005189553576994798,-3.926613507718953,-3.352875196930335,-3.05605828331691,0.2429772627044905,-149.92688118525308,17,0,0
MITH,ZEC,-3.7381662129092024,0.016354778763957644,-3.926613507718953,-3.352875196930335,-3.05605828331691,0.24286503891372527,-149.61659472460087,17,0,0
OMG,NEO,-3.4438148248259353,0.03771179887141118,-3.926613507718953,-3.352875196930335,-3.05605828331691,0.20314943182093853,-70.4004365039372,13,0,0
THETA,NEO,-5.093843563798958,0.00011025470397093284,-3.926613507718953,-3.352875196930335,-3.05605828331691,0.21259417860109936,-85.65945826146665,19,0,0
ZEC,NEO,-3.3500456852028457,0.048209708437703926,-3.926613507718953,-3.352875196930335,-3.05605828331691,0.19285711747354442,-545.8093071154658,15,1,0
OMG,ZEC,-3.3542526859716344,0.047691729803907686,-3.926613507718953,-3.352875196930335,-3.05605828331691,0.24136388511316376,-147.54072530785135,15,0,0
ONT,WTC,-4.423135554016829,0.0016334661779101702,-3.926613507718953,-3.352875196930335,-3.05605828331691,0.10763899000406758,19.215379433252455,34,0,0
XTZ,ONT,-3.646565788138628,0.021431651247207046,-3.926613507718953,-3.352875196930335,-3.05605828331691,0.211826451385873,1247.7595649398143,31,0,0
QTUM,THETA,-4.399240454466456,0.0017844056806014003,-3.926613507718953,-3.352875196930335,-3.05605828331691,0.2721534161644349,33.904464364392574,25,0,0
QTUM,ZEC,-3.5244726042489387,0.030286739103275704,-3.926613507718953,-3.352875196930335,-3.05605828331691,0.23335422281462842,-160.52211881308955,15,0,0
RLC,WAN,-3.6266540254027557,0.02270097045950064,-3.926613507718953,-3.352875196930335,-3.05605828331691,0.16532382274694685,75.44033675179139,32,0,0
RLC,ZRX,-3.5250405127955338,0.03023922841346372,-3.926613507718953,-3.352875196930335,-3.05605828331691,0.15944299635256612,47.863239199023035,43,0,0
WAN,STX,-5.1071273188563096,0.00010410940236582156,-3.926613507718953,-3.352875196930335,-3.05605828331691,0.11765709214145435,4.268656188645469,30,0,0
ZRX,STX,-4.061220813276091,0.0058622631549055905,-3.926613507718953,-3.352875196930335,-3.05605828331691,0.19253541043549302,12.880192989813082,42,0,0
WAN,THETA,-5.505477567106572,1.7471967047373636e-05,-3.926613507718953,-3.352875196930335,-3.05605828331691,0.275848573468307,-166.46650038666576,13,0,0
XTZ,THETA,-3.357511241093476,0.04729369301616749,-3.926613507718953,-3.352875196930335,-3.05605828331691,0.2904056431756971,206.0148204928343,13,0,0
ZEC,THETA,-3.8943961436902375,0.010097406856599192,-3.926613507718953,-3.352875196930335,-3.05605828331691,0.24412106839052503,-159.51446957248163,17,0,0
TRX,VET,-4.514729823827816,0.0011581551254306374,-3.926613507718953,-3.352875196930335,-3.05605828331691,0.20745265837281096,50.20154688614731,25,0,0
TRX,ZEC,-3.5909387604535405,0.025141174919298064,-3.926613507718953,-3.352875196930335,-3.05605828331691,0.24287603884201853,-149.6321371807121,17,0,0
XTZ,VET,-3.7358967942354293,0.01646652729530893,-3.926613507718953,-3.352875196930335,-3.05605828331691,0.2212572086102846,-2784.996236386291,15,0,0
ZEC,VET,-3.88641218237093,0.010355953613056799,-3.926613507718953,-3.352875196930335,-3.05605828331691,0.24284104741520388,-149.81937094809462,17,0,0
WAN,ZEC,-4.730643213646253,0.0004990752936218976,-3.926613507718953,-3.352875196930335,-3.05605828331691,0.24280957473972195,-149.7508528461313,17,0,0
XTZ,WTC,-3.347018928054733,0.04858523631682893,-3.926613507718953,-3.352875196930335,-3.05605828331691,0.21376624471643138,1351.8467200526593,21,0,0
WTC,ZEC,-3.3936951329013736,0.043055589275855045,-3.926613507718953,-3.352875196930335,-3.05605828331691,0.24289244269364546,-149.28562921891623,17,0,0
ZEC,ZIL,-3.441338510173178,0.03796208251600345,-3.926613507718953,-3.352875196930335,-3.05605828331691,0.2429440513075322,-149.59569095594327,17,0,0
